customer_id,acquisition_date,acquisition_channel,age_band,region
CUST_00154,2022-06-10,Social,45-54,North
CUST_00155,2022-08-26,Referral,45-54,West
CUST_00156,2022-12-28,Organic,25-34,North
CUST_00157,2022-03-10,Paid Search,55+,East
CUST_00158,2022-11-01,Paid Search,18-24,West
CUST_00159,2022-10-03,Email,18-24,East
CUST_00160,2023-03-05,Paid Search,55+,West
CUST_00161,2023-06-28,Email,18-24,East
CUST_00162,2022-12-29,Paid Search,18-24,North
CUST_00163,2022-08-12,Email,18-24,East
CUST_00164,2022-08-10,Email,18-24,East
CUST_00165,2022-08-17,Organic,18-24,South
CUST_00166,2023-03-21,Paid Search,35-44,North
CUST_00167,2022-06-25,Organic,45-54,East
CUST_00168,2022-04-02,Email,18-24,East
CUST_00169,2022-07-02,Paid Search,55+,West
CUST_00170,2022-01-13,Email,18-24,North
CUST_00171,2022-02-27,Email,45-54,East
CUST_00172,2022-02-19,Paid Search,55+,West
CUST_00173,2023-02-26,Email,35-44,West
CUST_00174,2023-01-30,Paid Search,35-44,West
CUST_00175,2023-01-16,Email,18-24,North
CUST_00176,2022-09-10,Referral,25-34,North
CUST_00177,2023-01-27,Email,55+,East
CUST_00178,2022-03-30,Social,25-34,South
CUST_00179,2023-05-07,Paid Search,18-24,North
CUST_00180,2022-10-01,Organic,45-54,North
CUST_00181,2023-05-28,Social,45-54,North
CUST_00182,2022-03-25,Organic,18-24,South
CUST_00183,2022-09-29,Social,18-24,East
CUST_00184,2023-01-16,Paid Search,18-24,North
CUST_00185,2022-09-28,Email,18-24,North
CUST_00186,2022-09-01,Paid Search,45-54,South
CUST_00187,2022-04-01,Social,18-24,West
CUST_00188,2022-07-28,Referral,45-54,West
CUST_00189,2022-05-11,Paid Search,18-24,South
CUST_00190,2022-06-14,Organic,55+,North
CUST_00191,2023-01-09,Paid Search,45-54,North
CUST_00192,2022-12-11,Referral,25-34,West
CUST_00193,2022-11-28,Social,35-44,South
CUST_00194,2022-07-17,Paid Search,18-24,North
CUST_00195,2023-06-08,Referral,18-24,West
CUST_00196,2022-02-17,Social,35-44,East
CUST_00197,2022-07-07,Paid Search,18-24,South
CUST_00198,2022-03-06,Email,45-54,South
CUST_00199,2022-07-05,Paid Search,25-34,North
CUST_00200,2023-06-10,Social,18-24,West
CUST_00201,2022-07-19,Paid Search,35-44,West
CUST_00202,2023-05-12,Organic,35-44,North
CUST_00203,2022-09-28,Organic,45-54,East
CUST_00204,2023-01-18,Paid Search,18-24,North
CUST_00205,2022-09-07,Paid Search,35-44,South
CUST_00206,2022-05-26,Referral,55+,East
CUST_00207,2023-02-22,Social,25-34,North
CUST_00208,2023-06-14,Email,55+,East
CUST_00209,2022-05-24,Paid Search,45-54,North
CUST_00210,2023-03-02,Paid Search,35-44,East
CUST_00211,2022-05-23,Organic,55+,South
CUST_00212,2023-01-27,Email,55+,North
CUST_00213,2023-03-07,Organic,25-34,West
CUST_00214,2022-09-03,Email,55+,South
CUST_00215,2023-02-07,Organic,18-24,West
CUST_00216,2022-05-29,Paid Search,18-24,West
CUST_00217,2022-02-13,Paid Search,18-24,North
CUST_00218,2022-02-22,Organic,25-34,East
CUST_00219,2022-09-02,Organic,55+,South
CUST_00220,2023-05-08,Paid Search,45-54,East
CUST_00221,2022-03-11,Email,45-54,East
CUST_00222,2022-09-06,Email,18-24,South
CUST_00223,2023-01-20,Email,35-44,East
CUST_00224,2022-04-21,Paid Search,25-34,South
CUST_00225,2023-01-30,Organic,35-44,West
CUST_00226,2022-06-17,Paid Search,25-34,West
CUST_00227,2023-03-18,Social,25-34,North
CUST_00228,2022-11-13,Paid Search,55+,East
CUST_00229,2022-10-26,Paid Search,35-44,West
CUST_00230,2022-04-07,Social,35-44,North
CUST_00231,2022-09-10,Paid Search,18-24,East
CUST_00232,2023-04-13,Social,45-54,West
CUST_00233,2022-01-11,Paid Search,35-44,North
CUST_00234,2023-02-19,Organic,25-34,East
CUST_00235,2022-09-27,Social,45-54,West
CUST_00236,2023-01-28,Organic,18-24,South
CUST_00237,2022-12-29,Paid Search,35-44,North
CUST_00238,2022-08-24,Paid Search,55+,South
CUST_00239,2022-06-18,Email,35-44,South
CUST_00240,2022-12-09,Email,18-24,East
CUST_00241,2022-03-18,Paid Search,25-34,South
CUST_00242,2022-11-15,Paid Search,18-24,South
CUST_00243,2022-02-21,Email,35-44,West
CUST_00244,2022-12-21,Paid Search,25-34,East
CUST_00245,2022-12-10,Email,18-24,West
CUST_00246,2022-02-16,Paid Search,45-54,East
CUST_00247,2023-02-18,Paid Search,18-24,West
CUST_00248,2022-08-16,Referral,25-34,North
CUST_00249,2023-03-06,Email,55+,West
CUST_00250,2022-01-23,Paid Search,18-24,West
CUST_00251,2022-04-08,Email,25-34,North
CUST_00252,2022-09-27,Social,25-34,South
CUST_00253,2022-04-13,Email,35-44,South
CUST_00254,2022-06-30,Referral,25-34,South
CUST_00255,2022-12-27,Organic,55+,West
CUST_00256,2022-03-20,Email,18-24,East
CUST_00257,2023-01-06,Organic,55+,North
CUST_00258,2022-02-26,Social,35-44,East
CUST_00259,2022-04-06,Paid Search,18-24,West
CUST_00260,2022-11-17,Email,18-24,South
CUST_00261,2023-03-10,Social,18-24,West
CUST_00262,2022-04-04,Organic,25-34,East
CUST_00263,2022-06-13,Email,25-34,West
CUST_00264,2023-05-21,Paid Search,45-54,West
CUST_00265,2023-06-25,Referral,25-34,North
CUST_00266,2022-11-14,Paid Search,45-54,West
CUST_00267,2022-09-02,Social,25-34,North
CUST_00268,2022-07-09,Email,25-34,West
CUST_00269,2022-12-01,Social,25-34,West
CUST_00270,2022-11-19,Organic,25-34,South
CUST_00271,2022-06-10,Referral,55+,North
CUST_00272,2022-01-13,Referral,25-34,South
CUST_00273,2022-03-24,Social,25-34,South
CUST_00274,2023-06-08,Social,55+,East
CUST_00275,2022-08-17,Organic,45-54,North
CUST_00276,2022-09-21,Paid Search,18-24,North
CUST_00277,2022-09-13,Referral,55+,South
CUST_00278,2023-03-04,Paid Search,18-24,West
CUST_00279,2022-02-05,Organic,18-24,South
CUST_00280,2022-02-15,Referral,35-44,South
CUST_00281,2022-05-31,Email,45-54,North
CUST_00282,2022-09-23,Paid Search,18-24,South
CUST_00283,2023-01-02,Paid Search,45-54,South
CUST_00284,2022-09-25,Social,18-24,South
CUST_00285,2022-08-29,Paid Search,45-54,South
CUST_00286,2023-05-28,Paid Search,18-24,South
CUST_00287,2022-03-29,Organic,35-44,East
CUST_00288,2022-11-09,Social,45-54,South
CUST_00289,2022-10-24,Paid Search,25-34,West
CUST_00290,2022-09-16,Paid Search,45-54,East
CUST_00291,2023-03-17,Organic,45-54,East
CUST_00292,2022-05-26,Social,45-54,East
CUST_00293,2023-06-05,Referral,25-34,West
CUST_00294,2022-07-01,Paid Search,45-54,South
CUST_00295,2022-10-25,Paid Search,45-54,West
CUST_00296,2022-10-12,Paid Search,25-34,North
CUST_00297,2023-04-09,Social,45-54,North
CUST_00298,2022-08-28,Paid Search,55+,West
CUST_00299,2022-06-05,Paid Search,55+,West
CUST_00300,2022-01-12,Social,45-54,North
CUST_00301,2022-07-18,Organic,45-54,East
CUST_00302,2023-03-28,Social,55+,East
CUST_00303,2022-01-06,Email,25-34,North
CUST_00304,2023-05-05,Email,45-54,East
CUST_00305,2022-10-24,Email,18-24,East
CUST_00306,2022-03-18,Paid Search,25-34,East
CUST_00307,2022-06-14,Email,55+,East
CUST_00308,2022-10-30,Email,25-34,West
CUST_00309,2022-06-22,Referral,55+,North
CUST_00310,2022-03-01,Organic,35-44,East
CUST_00311,2022-12-30,Organic,25-34,South
CUST_00312,2023-01-03,Paid Search,18-24,West
CUST_00313,2022-03-06,Email,35-44,South
CUST_00314,2022-06-03,Paid Search,35-44,West
CUST_00315,2022-05-14,Email,35-44,East
CUST_00316,2022-12-27,Paid Search,18-24,North
CUST_00317,2023-02-03,Paid Search,25-34,West
CUST_00318,2023-02-01,Social,18-24,North
CUST_00319,2023-05-28,Email,25-34,South
CUST_00320,2023-02-24,Organic,55+,South
CUST_00321,2022-06-25,Paid Search,18-24,East
CUST_00322,2022-02-28,Paid Search,45-54,South
CUST_00323,2022-12-02,Email,18-24,East
CUST_00324,2023-05-16,Paid Search,35-44,East
CUST_00325,2023-06-17,Paid Search,55+,North
CUST_00326,2022-05-06,Organic,25-34,North
CUST_00327,2022-05-10,Paid Search,18-24,South
CUST_00328,2022-01-21,Paid Search,35-44,North
CUST_00329,2022-03-19,Referral,25-34,West
CUST_00330,2022-10-30,Email,55+,South
CUST_00331,2022-10-26,Referral,55+,South
CUST_00332,2022-07-22,Email,45-54,East
CUST_00333,2022-06-19,Social,45-54,West
CUST_00334,2023-03-30,Paid Search,45-54,East
CUST_00335,2022-09-09,Email,45-54,East
CUST_00336,2023-03-18,Social,35-44,West
CUST_00337,2023-06-10,Organic,55+,West
CUST_00338,2022-06-23,Email,25-34,North
CUST_00339,2022-04-21,Referral,18-24,North
CUST_00340,2023-06-05,Paid Search,45-54,South
CUST_00341,2022-12-13,Paid Search,45-54,West
CUST_00342,2022-06-08,Paid Search,55+,West
CUST_00343,2022-12-06,Social,25-34,East
CUST_00344,2022-10-09,Paid Search,35-44,East
CUST_00345,2023-05-10,Social,35-44,North
CUST_00346,2022-05-20,Paid Search,25-34,East
CUST_00347,2023-06-26,Organic,45-54,North
CUST_00348,2023-05-27,Social,35-44,East
CUST_00349,2022-04-09,Paid Search,45-54,North
CUST_00350,2022-03-31,Paid Search,35-44,North
CUST_00351,2022-10-19,Paid Search,25-34,West
CUST_00352,2022-01-25,Organic,55+,West
CUST_00353,2022-06-13,Paid Search,35-44,East
CUST_00354,2022-08-26,Email,45-54,East
CUST_00355,2023-06-14,Email,35-44,North
CUST_00356,2023-06-26,Social,25-34,East
CUST_00357,2022-03-24,Email,55+,East
CUST_00358,2023-05-02,Email,25-34,East
CUST_00359,2022-02-19,Organic,55+,South
CUST_00360,2023-02-13,Paid Search,35-44,South
CUST_00361,2023-04-07,Social,18-24,West
CUST_00362,2023-05-02,Paid Search,18-24,South
CUST_00363,2022-05-02,Email,55+,West
CUST_00364,2023-05-03,Organic,35-44,West
CUST_00365,2022-03-05,Social,25-34,West
CUST_00366,2022-10-11,Social,55+,East
CUST_00367,2022-09-14,Paid Search,45-54,North
CUST_00368,2022-06-22,Email,45-54,North
CUST_00369,2022-01-13,Email,45-54,East
CUST_00370,2023-02-26,Email,18-24,South
CUST_00371,2022-07-03,Email,18-24,North
CUST_00372,2022-12-28,Paid Search,45-54,West
CUST_00373,2022-08-12,Paid Search,18-24,West
CUST_00374,2022-07-24,Paid Search,45-54,South
CUST_00375,2023-04-29,Email,18-24,East
CUST_00376,2022-02-21,Paid Search,25-34,South
CUST_00377,2023-02-07,Organic,45-54,South
CUST_00378,2023-02-12,Referral,45-54,East
CUST_00379,2022-07-27,Paid Search,45-54,South
CUST_00380,2022-05-24,Social,45-54,West
CUST_00381,2022-01-03,Social,18-24,North
CUST_00382,2023-05-27,Paid Search,55+,East
CUST_00383,2023-06-02,Paid Search,25-34,West
CUST_00384,2022-05-12,Paid Search,18-24,West
CUST_00385,2022-01-18,Paid Search,55+,North
CUST_00386,2022-03-09,Social,18-24,North
CUST_00387,2022-02-06,Organic,35-44,East
CUST_00388,2023-03-30,Paid Search,35-44,West
CUST_00389,2023-05-02,Social,45-54,West
CUST_00390,2022-03-25,Paid Search,18-24,West
CUST_00391,2023-02-12,Referral,18-24,North
CUST_00392,2022-04-08,Social,35-44,East
CUST_00393,2022-07-20,Email,35-44,East
CUST_00394,2022-11-24,Paid Search,45-54,East
CUST_00395,2023-01-29,Referral,45-54,West
CUST_00396,2023-04-23,Organic,18-24,North
CUST_00397,2022-01-25,Paid Search,55+,South
CUST_00398,2022-04-18,Paid Search,35-44,South
CUST_00399,2022-06-03,Paid Search,55+,West
CUST_00400,2022-06-19,Referral,55+,North
CUST_00401,2023-06-29,Referral,18-24,South
CUST_00402,2023-03-01,Social,35-44,North
CUST_00403,2022-06-24,Social,35-44,North
CUST_00404,2023-06-15,Organic,35-44,West
CUST_00405,2022-09-30,Social,25-34,West
CUST_00406,2022-10-01,Paid Search,35-44,South
CUST_00407,2022-08-25,Referral,35-44,East
CUST_00408,2022-03-20,Paid Search,18-24,East
CUST_00409,2023-05-26,Paid Search,25-34,West
CUST_00410,2022-01-08,Organic,18-24,South
CUST_00411,2022-04-06,Social,55+,West
CUST_00412,2022-05-06,Organic,45-54,South
CUST_00413,2022-06-02,Email,25-34,East
CUST_00414,2022-03-13,Email,25-34,South
CUST_00415,2022-01-10,Email,18-24,East
CUST_00416,2023-01-06,Paid Search,25-34,South
CUST_00417,2023-06-14,Paid Search,55+,West
CUST_00418,2022-03-08,Email,18-24,East
CUST_00419,2022-06-11,Paid Search,18-24,South
CUST_00420,2022-10-04,Organic,55+,West
CUST_00421,2023-05-22,Paid Search,35-44,East
CUST_00422,2023-01-15,Paid Search,18-24,South
CUST_00423,2023-02-23,Social,35-44,North
CUST_00424,2022-11-14,Paid Search,45-54,West
CUST_00425,2022-08-16,Organic,25-34,West
CUST_00426,2022-04-20,Social,25-34,East
CUST_00427,2023-04-17,Paid Search,45-54,West
CUST_00428,2023-03-16,Social,35-44,East
CUST_00429,2022-01-14,Referral,55+,North
CUST_00430,2023-01-26,Social,25-34,North
CUST_00431,2022-02-16,Social,25-34,North
CUST_00432,2023-02-08,Social,18-24,North
CUST_00433,2023-03-27,Referral,45-54,East
CUST_00434,2022-03-13,Paid Search,35-44,West
CUST_00435,2022-08-25,Social,25-34,North
CUST_00436,2022-03-09,Organic,45-54,East
CUST_00437,2022-11-06,Referral,25-34,North
CUST_00438,2023-05-22,Social,18-24,South
CUST_00439,2022-02-14,Email,35-44,West
CUST_00440,2022-08-06,Social,35-44,West
CUST_00441,2023-06-16,Organic,35-44,West
CUST_00442,2022-06-14,Paid Search,35-44,South
CUST_00443,2022-03-14,Paid Search,55+,West
CUST_00444,2022-09-24,Email,25-34,West
CUST_00445,2022-10-05,Email,25-34,South
CUST_00446,2022-12-28,Referral,35-44,South
CUST_00447,2022-06-21,Paid Search,18-24,North
CUST_00448,2023-06-06,Email,18-24,West
CUST_00449,2022-10-12,Referral,35-44,North
CUST_00450,2022-06-06,Referral,35-44,South
CUST_00451,2023-06-09,Social,45-54,South
CUST_00452,2023-05-20,Social,18-24,North
CUST_00453,2022-09-30,Referral,55+,West
CUST_00454,2022-01-14,Social,35-44,East
CUST_00455,2022-11-22,Referral,18-24,North
CUST_00456,2022-10-31,Email,25-34,North
CUST_00457,2022-03-22,Referral,25-34,North
CUST_00458,2022-12-13,Paid Search,35-44,West
CUST_00459,2023-04-05,Paid Search,35-44,South
CUST_00460,2022-02-27,Email,35-44,East
CUST_00461,2023-01-30,Organic,35-44,North
CUST_00462,2022-03-18,Social,55+,North
CUST_00463,2023-02-13,Paid Search,55+,East
CUST_00464,2022-08-17,Referral,35-44,North
CUST_00465,2022-01-04,Paid Search,55+,East
CUST_00466,2023-06-12,Social,55+,West
CUST_00467,2022-04-01,Social,55+,South
CUST_00468,2022-11-22,Referral,25-34,East
CUST_00469,2022-04-10,Referral,35-44,West
CUST_00470,2023-05-25,Paid Search,25-34,West
CUST_00471,2023-02-08,Email,18-24,North
CUST_00472,2023-03-16,Organic,18-24,North
CUST_00473,2022-08-24,Social,45-54,West
CUST_00474,2022-09-13,Email,35-44,West
CUST_00475,2022-12-13,Email,55+,South
CUST_00476,2023-03-05,Paid Search,45-54,East
CUST_00477,2023-04-08,Paid Search,18-24,East
CUST_00478,2022-01-10,Paid Search,55+,East
CUST_00479,2022-12-29,Email,35-44,West
CUST_00480,2022-03-01,Organic,35-44,South
CUST_00481,2022-06-07,Email,55+,West
CUST_00482,2023-03-29,Paid Search,45-54,North
CUST_00483,2022-05-17,Paid Search,18-24,North
CUST_00484,2023-03-12,Paid Search,18-24,West
CUST_00485,2022-09-10,Social,35-44,North
CUST_00486,2022-05-08,Email,18-24,West
CUST_00487,2022-07-02,Social,18-24,South
CUST_00488,2022-10-17,Social,45-54,South
CUST_00489,2023-02-22,Paid Search,18-24,North
CUST_00490,2022-11-27,Referral,18-24,West
CUST_00491,2023-05-25,Organic,35-44,South
CUST_00492,2023-04-19,Email,18-24,North
CUST_00493,2023-02-16,Paid Search,25-34,South
CUST_00494,2022-11-26,Organic,55+,North
CUST_00495,2022-06-08,Organic,45-54,West
CUST_00496,2022-08-14,Email,55+,North
CUST_00497,2022-03-06,Referral,25-34,South
CUST_00498,2022-07-24,Paid Search,45-54,South
CUST_00499,2023-05-21,Social,25-34,North
CUST_00500,2022-08-21,Email,25-34,North
CUST_00501,2022-03-04,Paid Search,18-24,East
CUST_00502,2022-12-22,Social,55+,South
CUST_00503,2023-06-10,Organic,18-24,North
CUST_00504,2023-04-19,Social,25-34,North
CUST_00505,2022-05-30,Paid Search,35-44,West
CUST_00506,2022-09-05,Paid Search,35-44,East
CUST_00507,2022-10-17,Organic,25-34,East
CUST_00508,2022-05-16,Organic,25-34,West
CUST_00509,2022-05-27,Email,25-34,North
CUST_00510,2022-05-10,Referral,55+,East
CUST_00511,2023-06-28,Email,35-44,West
CUST_00512,2023-02-12,Email,55+,North
CUST_00513,2023-04-05,Paid Search,55+,East
CUST_00514,2023-03-22,Paid Search,45-54,West
CUST_00515,2023-06-08,Paid Search,55+,East
CUST_00516,2022-02-27,Social,18-24,North
CUST_00517,2023-04-27,Paid Search,55+,East
CUST_00518,2022-02-06,Paid Search,35-44,West
CUST_00519,2022-09-17,Email,45-54,North
CUST_00520,2022-11-21,Paid Search,25-34,East
CUST_00521,2022-07-15,Paid Search,18-24,East
CUST_00522,2022-03-21,Referral,55+,South
CUST_00523,2022-04-15,Email,35-44,North
CUST_00524,2023-03-27,Referral,18-24,North
CUST_00525,2022-06-24,Organic,45-54,West
CUST_00526,2022-06-19,Paid Search,18-24,West
CUST_00527,2023-05-20,Organic,35-44,South
CUST_00528,2022-03-20,Organic,45-54,West
CUST_00529,2023-05-15,Social,45-54,West
CUST_00530,2023-05-18,Referral,35-44,East
CUST_00531,2022-11-23,Referral,25-34,East
CUST_00532,2022-04-01,Referral,55+,West
CUST_00533,2022-03-27,Social,18-24,East
CUST_00534,2022-06-05,Paid Search,18-24,West
CUST_00535,2022-11-12,Organic,18-24,West
CUST_00536,2022-03-25,Referral,55+,North
CUST_00537,2022-09-06,Social,35-44,East
CUST_00538,2022-03-05,Email,18-24,East
CUST_00539,2022-10-22,Paid Search,18-24,West
CUST_00540,2022-01-12,Email,18-24,South
CUST_00541,2023-01-23,Email,55+,West
CUST_00542,2022-01-31,Email,35-44,South
CUST_00543,2022-04-17,Paid Search,18-24,South
CUST_00544,2022-04-06,Paid Search,25-34,North
CUST_00545,2023-03-30,Email,45-54,South
CUST_00546,2022-01-30,Email,35-44,West
CUST_00547,2022-08-23,Organic,55+,East
CUST_00548,2022-11-19,Paid Search,18-24,East
CUST_00549,2022-10-09,Paid Search,18-24,West
CUST_00550,2023-01-07,Paid Search,18-24,South
CUST_00551,2023-03-15,Email,25-34,East
CUST_00552,2022-08-03,Email,45-54,South
CUST_00553,2023-03-29,Referral,45-54,West
CUST_00554,2022-06-23,Organic,25-34,South
CUST_00555,2023-06-22,Paid Search,45-54,West
CUST_00556,2022-10-03,Social,45-54,East
CUST_00557,2023-02-06,Paid Search,18-24,West
CUST_00558,2023-04-23,Paid Search,45-54,West
CUST_00559,2023-03-09,Email,35-44,West
CUST_00560,2023-04-10,Paid Search,18-24,South
CUST_00561,2022-10-20,Referral,25-34,East
CUST_00562,2022-01-24,Social,45-54,South
CUST_00563,2022-09-27,Social,45-54,North
CUST_00564,2022-04-10,Email,25-34,East
CUST_00565,2023-05-01,Referral,45-54,South
CUST_00566,2022-05-10,Email,25-34,South
CUST_00567,2022-05-05,Paid Search,35-44,North
CUST_00568,2022-05-17,Paid Search,18-24,East
CUST_00569,2022-12-17,Social,55+,East
CUST_00570,2022-11-08,Organic,55+,North
CUST_00571,2023-06-03,Paid Search,18-24,East
CUST_00572,2022-08-16,Referral,35-44,North
CUST_00573,2022-06-04,Social,45-54,North
CUST_00574,2022-01-27,Social,35-44,South
CUST_00575,2022-01-04,Email,25-34,South
CUST_00576,2022-07-23,Referral,55+,West
CUST_00577,2023-05-21,Social,25-34,North
