customer_id,acquisition_date,acquisition_channel,age_band,region,calibration_end_date,holdout_end_date,eligible
CUST_00031,2022-09-03,Paid Search,45-54,East,2022-12-02,2023-05-31,True
CUST_00032,2022-05-05,Email,18-24,North,2022-08-03,2023-01-30,True
CUST_00033,2022-02-20,Paid Search,55+,East,2022-05-21,2022-11-17,True
CUST_00034,2022-10-30,Email,18-24,West,2023-01-28,2023-07-27,True
CUST_00035,2023-04-30,Paid Search,35-44,North,2023-07-29,2024-01-25,True
CUST_00036,2022-02-04,Social,55+,East,2022-05-05,2022-11-01,True
CUST_00037,2023-04-14,Organic,35-44,South,2023-07-13,2024-01-09,True
CUST_00038,2023-03-28,Paid Search,45-54,South,2023-06-26,2023-12-23,True
CUST_00039,2022-06-01,Referral,45-54,East,2022-08-30,2023-02-26,True
CUST_00040,2022-12-11,Social,55+,East,2023-03-11,2023-09-07,True
CUST_00041,2022-04-01,Paid Search,35-44,East,2022-06-30,2022-12-27,True
CUST_00042,2023-02-18,Social,55+,North,2023-05-19,2023-11-15,True
CUST_00043,2023-01-18,Referral,35-44,East,2023-04-18,2023-10-15,True
CUST_00044,2022-07-13,Organic,55+,South,2022-10-11,2023-04-09,True
CUST_00045,2022-02-07,Organic,45-54,South,2022-05-08,2022-11-04,True
CUST_00046,2023-06-15,Paid Search,18-24,West,2023-09-13,2024-03-11,True
CUST_00047,2022-09-01,Email,45-54,North,2022-11-30,2023-05-29,True
CUST_00048,2023-05-03,Email,55+,South,2023-08-01,2024-01-28,True
CUST_00049,2023-01-06,Paid Search,18-24,South,2023-04-06,2023-10-03,True
CUST_00050,2023-03-01,Paid Search,55+,North,2023-05-30,2023-11-26,True
CUST_00051,2023-02-19,Organic,18-24,West,2023-05-20,2023-11-16,True
CUST_00052,2022-04-17,Paid Search,55+,South,2022-07-16,2023-01-12,True
CUST_00053,2022-07-18,Email,45-54,East,2022-10-16,2023-04-14,True
CUST_00054,2022-09-12,Social,18-24,South,2022-12-11,2023-06-09,True
CUST_00055,2022-09-29,Paid Search,45-54,West,2022-12-28,2023-06-26,True
CUST_00056,2022-01-24,Email,18-24,East,2022-04-24,2022-10-21,True
CUST_00057,2022-10-26,Organic,35-44,South,2023-01-24,2023-07-23,True
CUST_00058,2022-03-26,Email,55+,West,2022-06-24,2022-12-21,True
CUST_00059,2023-02-10,Paid Search,25-34,West,2023-05-11,2023-11-07,True
CUST_00060,2023-01-08,Paid Search,18-24,East,2023-04-08,2023-10-05,True
CUST_00061,2023-05-19,Organic,35-44,North,2023-08-17,2024-02-13,True
CUST_00062,2023-02-11,Paid Search,25-34,East,2023-05-12,2023-11-08,True
CUST_00063,2022-07-20,Email,18-24,East,2022-10-18,2023-04-16,True
CUST_00064,2023-06-13,Paid Search,35-44,South,2023-09-11,2024-03-09,True
CUST_00065,2022-08-13,Email,25-34,North,2022-11-11,2023-05-10,True
CUST_00066,2022-06-27,Organic,18-24,East,2022-09-25,2023-03-24,True
CUST_00067,2023-05-10,Email,25-34,West,2023-08-08,2024-02-04,True
CUST_00068,2022-07-22,Organic,18-24,South,2022-10-20,2023-04-18,True
CUST_00069,2022-02-11,Paid Search,55+,South,2022-05-12,2022-11-08,True
CUST_00070,2022-09-14,Email,55+,North,2022-12-13,2023-06-11,True
CUST_00071,2023-03-11,Organic,25-34,East,2023-06-09,2023-12-06,True
CUST_00072,2022-04-14,Email,55+,West,2022-07-13,2023-01-09,True
CUST_00073,2022-09-10,Paid Search,35-44,West,2022-12-09,2023-06-07,True
CUST_00074,2022-03-12,Organic,55+,South,2022-06-10,2022-12-07,True
CUST_00075,2023-01-10,Email,18-24,North,2023-04-10,2023-10-07,True
CUST_00076,2022-09-17,Email,25-34,South,2022-12-16,2023-06-14,True
CUST_00077,2022-06-30,Organic,45-54,West,2022-09-28,2023-03-27,True
CUST_00078,2022-05-04,Paid Search,25-34,North,2022-08-02,2023-01-29,True
CUST_00079,2022-11-05,Paid Search,55+,North,2023-02-03,2023-08-02,True
CUST_00080,2023-01-01,Paid Search,35-44,West,2023-04-01,2023-09-28,True
CUST_00081,2023-05-29,Email,35-44,East,2023-08-27,2024-02-23,True
CUST_00082,2022-08-27,Paid Search,35-44,North,2022-11-25,2023-05-24,True
CUST_00083,2022-03-29,Social,45-54,North,2022-06-27,2022-12-24,True
CUST_00084,2023-03-31,Paid Search,18-24,South,2023-06-29,2023-12-26,True
CUST_00085,2022-12-10,Social,45-54,East,2023-03-10,2023-09-06,True
CUST_00086,2023-01-18,Paid Search,45-54,West,2023-04-18,2023-10-15,True
CUST_00087,2022-02-23,Email,55+,West,2022-05-24,2022-11-20,True
CUST_00088,2022-06-20,Paid Search,55+,South,2022-09-18,2023-03-17,True
CUST_00089,2023-02-24,Social,45-54,South,2023-05-25,2023-11-21,True
CUST_00090,2023-03-31,Email,35-44,West,2023-06-29,2023-12-26,True
CUST_00091,2022-08-26,Email,35-44,West,2022-11-24,2023-05-23,True
CUST_00092,2023-03-16,Organic,25-34,North,2023-06-14,2023-12-11,True
CUST_00093,2023-04-05,Referral,55+,East,2023-07-04,2023-12-31,True
CUST_00094,2022-07-31,Paid Search,25-34,East,2022-10-29,2023-04-27,True
CUST_00095,2023-05-06,Organic,35-44,North,2023-08-04,2024-01-31,True
CUST_00096,2022-06-07,Paid Search,18-24,West,2022-09-05,2023-03-04,True
CUST_00097,2022-05-11,Paid Search,25-34,South,2022-08-09,2023-02-05,True
CUST_00098,2023-01-08,Email,25-34,East,2023-04-08,2023-10-05,True
CUST_00099,2022-12-14,Paid Search,35-44,South,2023-03-14,2023-09-10,True
CUST_00100,2022-03-18,Paid Search,35-44,East,2022-06-16,2022-12-13,True
CUST_00101,2023-03-31,Social,45-54,West,2023-06-29,2023-12-26,True
CUST_00102,2022-04-20,Paid Search,35-44,South,2022-07-19,2023-01-15,True
CUST_00103,2023-03-16,Social,18-24,South,2023-06-14,2023-12-11,True
CUST_00104,2022-01-05,Organic,35-44,West,2022-04-05,2022-10-02,True
CUST_00105,2023-03-12,Referral,18-24,West,2023-06-10,2023-12-07,True
CUST_00106,2023-03-06,Social,55+,West,2023-06-04,2023-12-01,True
CUST_00107,2023-03-03,Social,45-54,West,2023-06-01,2023-11-28,True
CUST_00108,2022-12-30,Organic,25-34,East,2023-03-30,2023-09-26,True
CUST_00109,2022-09-15,Paid Search,25-34,West,2022-12-14,2023-06-12,True
CUST_00110,2023-01-21,Paid Search,18-24,West,2023-04-21,2023-10-18,True
CUST_00111,2022-06-01,Email,25-34,North,2022-08-30,2023-02-26,True
CUST_00112,2023-03-03,Email,18-24,East,2023-06-01,2023-11-28,True
CUST_00113,2022-10-31,Paid Search,55+,North,2023-01-29,2023-07-28,True
CUST_00114,2022-09-08,Referral,18-24,East,2022-12-07,2023-06-05,True
CUST_00115,2022-10-04,Paid Search,45-54,South,2023-01-02,2023-07-01,True
CUST_00116,2022-11-07,Organic,35-44,South,2023-02-05,2023-08-04,True
CUST_00117,2022-01-21,Paid Search,25-34,West,2022-04-21,2022-10-18,True
CUST_00118,2022-03-18,Paid Search,55+,East,2022-06-16,2022-12-13,True
CUST_00119,2022-05-15,Paid Search,18-24,East,2022-08-13,2023-02-09,True
CUST_00120,2022-03-04,Paid Search,55+,West,2022-06-02,2022-11-29,True
CUST_00121,2022-08-29,Paid Search,45-54,North,2022-11-27,2023-05-26,True
CUST_00122,2022-12-31,Paid Search,45-54,East,2023-03-31,2023-09-27,True
CUST_00123,2022-12-24,Paid Search,55+,North,2023-03-24,2023-09-20,True
CUST_00124,2022-09-15,Paid Search,35-44,North,2022-12-14,2023-06-12,True
CUST_00125,2023-04-12,Email,25-34,North,2023-07-11,2024-01-07,True
CUST_00126,2022-11-05,Email,18-24,East,2023-02-03,2023-08-02,True
CUST_00127,2022-02-13,Paid Search,55+,East,2022-05-14,2022-11-10,True
CUST_00128,2023-02-22,Paid Search,35-44,West,2023-05-23,2023-11-19,True
CUST_00129,2022-11-10,Paid Search,55+,South,2023-02-08,2023-08-07,True
CUST_00130,2022-12-13,Paid Search,25-34,West,2023-03-13,2023-09-09,True
CUST_00131,2022-11-05,Paid Search,55+,South,2023-02-03,2023-08-02,True
CUST_00132,2022-10-30,Social,55+,North,2023-01-28,2023-07-27,True
CUST_00133,2022-02-19,Organic,25-34,North,2022-05-20,2022-11-16,True
CUST_00134,2022-11-02,Organic,35-44,North,2023-01-31,2023-07-30,True
CUST_00135,2023-03-11,Email,45-54,South,2023-06-09,2023-12-06,True
CUST_00136,2022-06-15,Email,25-34,South,2022-09-13,2023-03-12,True
CUST_00137,2022-11-26,Paid Search,18-24,West,2023-02-24,2023-08-23,True
CUST_00138,2022-01-17,Social,25-34,North,2022-04-17,2022-10-14,True
CUST_00139,2022-07-09,Social,35-44,South,2022-10-07,2023-04-05,True
CUST_00140,2022-08-27,Social,18-24,West,2022-11-25,2023-05-24,True
CUST_00141,2023-06-21,Organic,25-34,North,2023-09-19,2024-03-17,True
CUST_00142,2022-04-28,Email,55+,South,2022-07-27,2023-01-23,True
CUST_00143,2022-05-31,Social,18-24,North,2022-08-29,2023-02-25,True
CUST_00144,2022-08-12,Social,18-24,East,2022-11-10,2023-05-09,True
CUST_00145,2023-06-26,Paid Search,35-44,West,2023-09-24,2024-03-22,True
CUST_00146,2023-04-11,Organic,18-24,North,2023-07-10,2024-01-06,True
CUST_00147,2022-01-19,Paid Search,18-24,South,2022-04-19,2022-10-16,True
CUST_00148,2022-05-08,Organic,18-24,South,2022-08-06,2023-02-02,True
CUST_00149,2023-03-25,Social,18-24,West,2023-06-23,2023-12-20,True
CUST_00150,2022-02-01,Paid Search,55+,West,2022-05-02,2022-10-29,True
CUST_00151,2023-04-13,Social,18-24,North,2023-07-12,2024-01-08,True
CUST_00152,2022-06-03,Paid Search,35-44,South,2022-09-01,2023-02-28,True
CUST_00153,2023-05-17,Social,45-54,West,2023-08-15,2024-02-11,True
CUST_00154,2022-06-10,Social,45-54,North,2022-09-08,2023-03-07,True
CUST_00155,2022-08-26,Referral,45-54,West,2022-11-24,2023-05-23,True
CUST_00156,2022-12-28,Organic,25-34,North,2023-03-28,2023-09-24,True
CUST_00157,2022-03-10,Paid Search,55+,East,2022-06-08,2022-12-05,True
CUST_00158,2022-11-01,Paid Search,18-24,West,2023-01-30,2023-07-29,True
CUST_00159,2022-10-03,Email,18-24,East,2023-01-01,2023-06-30,True
CUST_00160,2023-03-05,Paid Search,55+,West,2023-06-03,2023-11-30,True
CUST_00161,2023-06-28,Email,18-24,East,2023-09-26,2024-03-24,True
CUST_00162,2022-12-29,Paid Search,18-24,North,2023-03-29,2023-09-25,True
CUST_00163,2022-08-12,Email,18-24,East,2022-11-10,2023-05-09,True
CUST_00164,2022-08-10,Email,18-24,East,2022-11-08,2023-05-07,True
CUST_00165,2022-08-17,Organic,18-24,South,2022-11-15,2023-05-14,True
CUST_00166,2023-03-21,Paid Search,35-44,North,2023-06-19,2023-12-16,True
CUST_00167,2022-06-25,Organic,45-54,East,2022-09-23,2023-03-22,True
CUST_00168,2022-04-02,Email,18-24,East,2022-07-01,2022-12-28,True
CUST_00169,2022-07-02,Paid Search,55+,West,2022-09-30,2023-03-29,True
CUST_00170,2022-01-13,Email,18-24,North,2022-04-13,2022-10-10,True
CUST_00171,2022-02-27,Email,45-54,East,2022-05-28,2022-11-24,True
CUST_00172,2022-02-19,Paid Search,55+,West,2022-05-20,2022-11-16,True
CUST_00173,2023-02-26,Email,35-44,West,2023-05-27,2023-11-23,True
CUST_00174,2023-01-30,Paid Search,35-44,West,2023-04-30,2023-10-27,True
CUST_00175,2023-01-16,Email,18-24,North,2023-04-16,2023-10-13,True
CUST_00176,2022-09-10,Referral,25-34,North,2022-12-09,2023-06-07,True
CUST_00177,2023-01-27,Email,55+,East,2023-04-27,2023-10-24,True
CUST_00178,2022-03-30,Social,25-34,South,2022-06-28,2022-12-25,True
CUST_00179,2023-05-07,Paid Search,18-24,North,2023-08-05,2024-02-01,True
CUST_00180,2022-10-01,Organic,45-54,North,2022-12-30,2023-06-28,True
CUST_00181,2023-05-28,Social,45-54,North,2023-08-26,2024-02-22,True
CUST_00182,2022-03-25,Organic,18-24,South,2022-06-23,2022-12-20,True
CUST_00183,2022-09-29,Social,18-24,East,2022-12-28,2023-06-26,True
CUST_00184,2023-01-16,Paid Search,18-24,North,2023-04-16,2023-10-13,True
CUST_00185,2022-09-28,Email,18-24,North,2022-12-27,2023-06-25,True
CUST_00186,2022-09-01,Paid Search,45-54,South,2022-11-30,2023-05-29,True
CUST_00187,2022-04-01,Social,18-24,West,2022-06-30,2022-12-27,True
CUST_00188,2022-07-28,Referral,45-54,West,2022-10-26,2023-04-24,True
CUST_00189,2022-05-11,Paid Search,18-24,South,2022-08-09,2023-02-05,True
CUST_00190,2022-06-14,Organic,55+,North,2022-09-12,2023-03-11,True
CUST_00191,2023-01-09,Paid Search,45-54,North,2023-04-09,2023-10-06,True
CUST_00192,2022-12-11,Referral,25-34,West,2023-03-11,2023-09-07,True
CUST_00193,2022-11-28,Social,35-44,South,2023-02-26,2023-08-25,True
CUST_00194,2022-07-17,Paid Search,18-24,North,2022-10-15,2023-04-13,True
CUST_00195,2023-06-08,Referral,18-24,West,2023-09-06,2024-03-04,True
CUST_00196,2022-02-17,Social,35-44,East,2022-05-18,2022-11-14,True
CUST_00197,2022-07-07,Paid Search,18-24,South,2022-10-05,2023-04-03,True
CUST_00198,2022-03-06,Email,45-54,South,2022-06-04,2022-12-01,True
CUST_00199,2022-07-05,Paid Search,25-34,North,2022-10-03,2023-04-01,True
CUST_00200,2023-06-10,Social,18-24,West,2023-09-08,2024-03-06,True
CUST_00201,2022-07-19,Paid Search,35-44,West,2022-10-17,2023-04-15,True
CUST_00202,2023-05-12,Organic,35-44,North,2023-08-10,2024-02-06,True
CUST_00203,2022-09-28,Organic,45-54,East,2022-12-27,2023-06-25,True
CUST_00204,2023-01-18,Paid Search,18-24,North,2023-04-18,2023-10-15,True
CUST_00205,2022-09-07,Paid Search,35-44,South,2022-12-06,2023-06-04,True
CUST_00206,2022-05-26,Referral,55+,East,2022-08-24,2023-02-20,True
CUST_00207,2023-02-22,Social,25-34,North,2023-05-23,2023-11-19,True
CUST_00208,2023-06-14,Email,55+,East,2023-09-12,2024-03-10,True
CUST_00209,2022-05-24,Paid Search,45-54,North,2022-08-22,2023-02-18,True
CUST_00210,2023-03-02,Paid Search,35-44,East,2023-05-31,2023-11-27,True
CUST_00211,2022-05-23,Organic,55+,South,2022-08-21,2023-02-17,True
CUST_00212,2023-01-27,Email,55+,North,2023-04-27,2023-10-24,True
CUST_00213,2023-03-07,Organic,25-34,West,2023-06-05,2023-12-02,True
CUST_00214,2022-09-03,Email,55+,South,2022-12-02,2023-05-31,True
CUST_00215,2023-02-07,Organic,18-24,West,2023-05-08,2023-11-04,True
CUST_00216,2022-05-29,Paid Search,18-24,West,2022-08-27,2023-02-23,True
CUST_00217,2022-02-13,Paid Search,18-24,North,2022-05-14,2022-11-10,True
CUST_00218,2022-02-22,Organic,25-34,East,2022-05-23,2022-11-19,True
CUST_00219,2022-09-02,Organic,55+,South,2022-12-01,2023-05-30,True
CUST_00220,2023-05-08,Paid Search,45-54,East,2023-08-06,2024-02-02,True
CUST_00221,2022-03-11,Email,45-54,East,2022-06-09,2022-12-06,True
CUST_00222,2022-09-06,Email,18-24,South,2022-12-05,2023-06-03,True
CUST_00223,2023-01-20,Email,35-44,East,2023-04-20,2023-10-17,True
CUST_00224,2022-04-21,Paid Search,25-34,South,2022-07-20,2023-01-16,True
CUST_00225,2023-01-30,Organic,35-44,West,2023-04-30,2023-10-27,True
CUST_00226,2022-06-17,Paid Search,25-34,West,2022-09-15,2023-03-14,True
CUST_00227,2023-03-18,Social,25-34,North,2023-06-16,2023-12-13,True
CUST_00228,2022-11-13,Paid Search,55+,East,2023-02-11,2023-08-10,True
CUST_00229,2022-10-26,Paid Search,35-44,West,2023-01-24,2023-07-23,True
CUST_00230,2022-04-07,Social,35-44,North,2022-07-06,2023-01-02,True
CUST_00231,2022-09-10,Paid Search,18-24,East,2022-12-09,2023-06-07,True
CUST_00232,2023-04-13,Social,45-54,West,2023-07-12,2024-01-08,True
CUST_00233,2022-01-11,Paid Search,35-44,North,2022-04-11,2022-10-08,True
CUST_00234,2023-02-19,Organic,25-34,East,2023-05-20,2023-11-16,True
CUST_00235,2022-09-27,Social,45-54,West,2022-12-26,2023-06-24,True
CUST_00236,2023-01-28,Organic,18-24,South,2023-04-28,2023-10-25,True
CUST_00237,2022-12-29,Paid Search,35-44,North,2023-03-29,2023-09-25,True
CUST_00238,2022-08-24,Paid Search,55+,South,2022-11-22,2023-05-21,True
CUST_00239,2022-06-18,Email,35-44,South,2022-09-16,2023-03-15,True
CUST_00240,2022-12-09,Email,18-24,East,2023-03-09,2023-09-05,True
CUST_00241,2022-03-18,Paid Search,25-34,South,2022-06-16,2022-12-13,True
CUST_00242,2022-11-15,Paid Search,18-24,South,2023-02-13,2023-08-12,True
CUST_00243,2022-02-21,Email,35-44,West,2022-05-22,2022-11-18,True
CUST_00244,2022-12-21,Paid Search,25-34,East,2023-03-21,2023-09-17,True
CUST_00245,2022-12-10,Email,18-24,West,2023-03-10,2023-09-06,True
CUST_00246,2022-02-16,Paid Search,45-54,East,2022-05-17,2022-11-13,True
CUST_00247,2023-02-18,Paid Search,18-24,West,2023-05-19,2023-11-15,True
CUST_00248,2022-08-16,Referral,25-34,North,2022-11-14,2023-05-13,True
CUST_00249,2023-03-06,Email,55+,West,2023-06-04,2023-12-01,True
CUST_00250,2022-01-23,Paid Search,18-24,West,2022-04-23,2022-10-20,True
CUST_00251,2022-04-08,Email,25-34,North,2022-07-07,2023-01-03,True
CUST_00252,2022-09-27,Social,25-34,South,2022-12-26,2023-06-24,True
CUST_00253,2022-04-13,Email,35-44,South,2022-07-12,2023-01-08,True
CUST_00254,2022-06-30,Referral,25-34,South,2022-09-28,2023-03-27,True
CUST_00255,2022-12-27,Organic,55+,West,2023-03-27,2023-09-23,True
CUST_00256,2022-03-20,Email,18-24,East,2022-06-18,2022-12-15,True
CUST_00257,2023-01-06,Organic,55+,North,2023-04-06,2023-10-03,True
CUST_00258,2022-02-26,Social,35-44,East,2022-05-27,2022-11-23,True
CUST_00259,2022-04-06,Paid Search,18-24,West,2022-07-05,2023-01-01,True
CUST_00260,2022-11-17,Email,18-24,South,2023-02-15,2023-08-14,True
CUST_00261,2023-03-10,Social,18-24,West,2023-06-08,2023-12-05,True
CUST_00262,2022-04-04,Organic,25-34,East,2022-07-03,2022-12-30,True
CUST_00263,2022-06-13,Email,25-34,West,2022-09-11,2023-03-10,True
CUST_00264,2023-05-21,Paid Search,45-54,West,2023-08-19,2024-02-15,True
CUST_00265,2023-06-25,Referral,25-34,North,2023-09-23,2024-03-21,True
CUST_00266,2022-11-14,Paid Search,45-54,West,2023-02-12,2023-08-11,True
CUST_00267,2022-09-02,Social,25-34,North,2022-12-01,2023-05-30,True
CUST_00268,2022-07-09,Email,25-34,West,2022-10-07,2023-04-05,True
CUST_00269,2022-12-01,Social,25-34,West,2023-03-01,2023-08-28,True
CUST_00270,2022-11-19,Organic,25-34,South,2023-02-17,2023-08-16,True
CUST_00271,2022-06-10,Referral,55+,North,2022-09-08,2023-03-07,True
CUST_00272,2022-01-13,Referral,25-34,South,2022-04-13,2022-10-10,True
CUST_00273,2022-03-24,Social,25-34,South,2022-06-22,2022-12-19,True
CUST_00274,2023-06-08,Social,55+,East,2023-09-06,2024-03-04,True
CUST_00275,2022-08-17,Organic,45-54,North,2022-11-15,2023-05-14,True
CUST_00276,2022-09-21,Paid Search,18-24,North,2022-12-20,2023-06-18,True
CUST_00277,2022-09-13,Referral,55+,South,2022-12-12,2023-06-10,True
CUST_00278,2023-03-04,Paid Search,18-24,West,2023-06-02,2023-11-29,True
CUST_00279,2022-02-05,Organic,18-24,South,2022-05-06,2022-11-02,True
CUST_00280,2022-02-15,Referral,35-44,South,2022-05-16,2022-11-12,True
CUST_00281,2022-05-31,Email,45-54,North,2022-08-29,2023-02-25,True
CUST_00282,2022-09-23,Paid Search,18-24,South,2022-12-22,2023-06-20,True
CUST_00283,2023-01-02,Paid Search,45-54,South,2023-04-02,2023-09-29,True
CUST_00284,2022-09-25,Social,18-24,South,2022-12-24,2023-06-22,True
CUST_00285,2022-08-29,Paid Search,45-54,South,2022-11-27,2023-05-26,True
CUST_00286,2023-05-28,Paid Search,18-24,South,2023-08-26,2024-02-22,True
CUST_00287,2022-03-29,Organic,35-44,East,2022-06-27,2022-12-24,True
CUST_00288,2022-11-09,Social,45-54,South,2023-02-07,2023-08-06,True
CUST_00289,2022-10-24,Paid Search,25-34,West,2023-01-22,2023-07-21,True
CUST_00290,2022-09-16,Paid Search,45-54,East,2022-12-15,2023-06-13,True
CUST_00291,2023-03-17,Organic,45-54,East,2023-06-15,2023-12-12,True
CUST_00292,2022-05-26,Social,45-54,East,2022-08-24,2023-02-20,True
CUST_00293,2023-06-05,Referral,25-34,West,2023-09-03,2024-03-01,True
CUST_00294,2022-07-01,Paid Search,45-54,South,2022-09-29,2023-03-28,True
CUST_00295,2022-10-25,Paid Search,45-54,West,2023-01-23,2023-07-22,True
CUST_00296,2022-10-12,Paid Search,25-34,North,2023-01-10,2023-07-09,True
CUST_00297,2023-04-09,Social,45-54,North,2023-07-08,2024-01-04,True
CUST_00298,2022-08-28,Paid Search,55+,West,2022-11-26,2023-05-25,True
CUST_00299,2022-06-05,Paid Search,55+,West,2022-09-03,2023-03-02,True
CUST_00300,2022-01-12,Social,45-54,North,2022-04-12,2022-10-09,True
CUST_00301,2022-07-18,Organic,45-54,East,2022-10-16,2023-04-14,True
CUST_00302,2023-03-28,Social,55+,East,2023-06-26,2023-12-23,True
CUST_00303,2022-01-06,Email,25-34,North,2022-04-06,2022-10-03,True
CUST_00304,2023-05-05,Email,45-54,East,2023-08-03,2024-01-30,True
CUST_00305,2022-10-24,Email,18-24,East,2023-01-22,2023-07-21,True
CUST_00306,2022-03-18,Paid Search,25-34,East,2022-06-16,2022-12-13,True
CUST_00307,2022-06-14,Email,55+,East,2022-09-12,2023-03-11,True
CUST_00308,2022-10-30,Email,25-34,West,2023-01-28,2023-07-27,True
CUST_00309,2022-06-22,Referral,55+,North,2022-09-20,2023-03-19,True
CUST_00310,2022-03-01,Organic,35-44,East,2022-05-30,2022-11-26,True
CUST_00311,2022-12-30,Organic,25-34,South,2023-03-30,2023-09-26,True
CUST_00312,2023-01-03,Paid Search,18-24,West,2023-04-03,2023-09-30,True
CUST_00313,2022-03-06,Email,35-44,South,2022-06-04,2022-12-01,True
CUST_00314,2022-06-03,Paid Search,35-44,West,2022-09-01,2023-02-28,True
CUST_00315,2022-05-14,Email,35-44,East,2022-08-12,2023-02-08,True
CUST_00316,2022-12-27,Paid Search,18-24,North,2023-03-27,2023-09-23,True
CUST_00317,2023-02-03,Paid Search,25-34,West,2023-05-04,2023-10-31,True
CUST_00318,2023-02-01,Social,18-24,North,2023-05-02,2023-10-29,True
CUST_00319,2023-05-28,Email,25-34,South,2023-08-26,2024-02-22,True
CUST_00320,2023-02-24,Organic,55+,South,2023-05-25,2023-11-21,True
CUST_00321,2022-06-25,Paid Search,18-24,East,2022-09-23,2023-03-22,True
CUST_00322,2022-02-28,Paid Search,45-54,South,2022-05-29,2022-11-25,True
CUST_00323,2022-12-02,Email,18-24,East,2023-03-02,2023-08-29,True
CUST_00324,2023-05-16,Paid Search,35-44,East,2023-08-14,2024-02-10,True
CUST_00325,2023-06-17,Paid Search,55+,North,2023-09-15,2024-03-13,True
CUST_00326,2022-05-06,Organic,25-34,North,2022-08-04,2023-01-31,True
CUST_00327,2022-05-10,Paid Search,18-24,South,2022-08-08,2023-02-04,True
CUST_00328,2022-01-21,Paid Search,35-44,North,2022-04-21,2022-10-18,True
CUST_00329,2022-03-19,Referral,25-34,West,2022-06-17,2022-12-14,True
CUST_00330,2022-10-30,Email,55+,South,2023-01-28,2023-07-27,True
CUST_00331,2022-10-26,Referral,55+,South,2023-01-24,2023-07-23,True
CUST_00332,2022-07-22,Email,45-54,East,2022-10-20,2023-04-18,True
CUST_00333,2022-06-19,Social,45-54,West,2022-09-17,2023-03-16,True
CUST_00334,2023-03-30,Paid Search,45-54,East,2023-06-28,2023-12-25,True
CUST_00335,2022-09-09,Email,45-54,East,2022-12-08,2023-06-06,True
CUST_00336,2023-03-18,Social,35-44,West,2023-06-16,2023-12-13,True
CUST_00337,2023-06-10,Organic,55+,West,2023-09-08,2024-03-06,True
CUST_00338,2022-06-23,Email,25-34,North,2022-09-21,2023-03-20,True
CUST_00339,2022-04-21,Referral,18-24,North,2022-07-20,2023-01-16,True
CUST_00340,2023-06-05,Paid Search,45-54,South,2023-09-03,2024-03-01,True
CUST_00341,2022-12-13,Paid Search,45-54,West,2023-03-13,2023-09-09,True
CUST_00342,2022-06-08,Paid Search,55+,West,2022-09-06,2023-03-05,True
CUST_00343,2022-12-06,Social,25-34,East,2023-03-06,2023-09-02,True
CUST_00344,2022-10-09,Paid Search,35-44,East,2023-01-07,2023-07-06,True
CUST_00345,2023-05-10,Social,35-44,North,2023-08-08,2024-02-04,True
CUST_00346,2022-05-20,Paid Search,25-34,East,2022-08-18,2023-02-14,True
