customer_id,acquisition_channel,age_band,region,predicted_clv,clv_tier
CUST_00069,Paid Search,55+,South,4375.4272,Medium
CUST_00070,Email,55+,North,4585.863,Medium
CUST_00071,Organic,25-34,East,5343.4,Medium
CUST_00072,Email,55+,West,0.0,Low
CUST_00073,Paid Search,35-44,West,3560.2249,Medium
CUST_00074,Organic,55+,South,4931.944,Medium
CUST_00075,Email,18-24,North,4414.9937,Medium
CUST_00076,Email,25-34,South,4599.6484,Medium
CUST_00077,Organic,45-54,West,5237.6045,Low
CUST_00078,Paid Search,25-34,North,3603.2917,Low
CUST_00079,Paid Search,55+,North,3851.0398,Medium
CUST_00080,Paid Search,35-44,West,3609.814,Medium
CUST_00081,Email,35-44,East,4632.4136,Medium
CUST_00082,Paid Search,35-44,North,3477.6382,Low
CUST_00083,Social,45-54,North,2499.1206,Low
CUST_00084,Paid Search,18-24,South,3884.6316,Medium
CUST_00085,Social,45-54,East,2632.091,Low
CUST_00086,Paid Search,45-54,West,3511.79,Medium
CUST_00087,Email,55+,West,4568.7476,Medium
CUST_00088,Paid Search,55+,South,3750.6821,Medium
CUST_00089,Social,45-54,South,2398.0781,Low
CUST_00090,Email,35-44,West,4516.457,Medium
CUST_00091,Email,35-44,West,4597.546,Medium
CUST_00092,Organic,25-34,North,5388.3315,Medium
CUST_00093,Referral,55+,East,12541.985,High
CUST_00094,Paid Search,25-34,East,3786.7288,Medium
CUST_00095,Organic,35-44,North,5168.9253,Low
CUST_00096,Paid Search,18-24,West,3591.053,Low
CUST_00097,Paid Search,25-34,South,214.09248,Low
CUST_00098,Email,25-34,East,4669.2954,Medium
CUST_00099,Paid Search,35-44,South,3770.43,Medium
CUST_00100,Paid Search,35-44,East,3750.83,Medium
CUST_00101,Social,45-54,West,2628.415,Low
CUST_00102,Paid Search,35-44,South,3665.3188,Medium
CUST_00103,Social,18-24,South,2623.8,Low
CUST_00104,Organic,35-44,West,4845.2676,Medium
CUST_00105,Referral,18-24,West,17729.473,High
CUST_00106,Social,55+,West,2829.8958,Low
CUST_00107,Social,45-54,West,2726.599,Medium
CUST_00108,Organic,25-34,East,5417.644,Medium
CUST_00109,Paid Search,25-34,West,3957.9277,Medium
CUST_00110,Paid Search,18-24,West,3328.7856,Low
CUST_00111,Email,25-34,North,4136.682,Medium
CUST_00112,Email,18-24,East,4663.5728,Medium
CUST_00113,Paid Search,55+,North,4038.3748,Low
CUST_00114,Referral,18-24,East,13734.064,High
CUST_00115,Paid Search,45-54,South,3955.758,Medium
CUST_00116,Organic,35-44,South,4288.2563,Medium
CUST_00117,Paid Search,25-34,West,4030.354,Medium
CUST_00118,Paid Search,55+,East,3579.4536,Low
CUST_00119,Paid Search,18-24,East,3749.1558,Medium
CUST_00120,Paid Search,55+,West,3915.8777,Medium
CUST_00121,Paid Search,45-54,North,3127.6685,Low
CUST_00122,Paid Search,45-54,East,3647.1128,Low
CUST_00123,Paid Search,55+,North,3874.6174,Medium
CUST_00124,Paid Search,35-44,North,4049.9536,Low
CUST_00125,Email,25-34,North,2454.2446,Low
CUST_00126,Email,18-24,East,4479.0737,Medium
CUST_00127,Paid Search,55+,East,3480.0676,Medium
CUST_00128,Paid Search,35-44,West,43.638214,Low
CUST_00129,Paid Search,55+,South,4352.529,Low
CUST_00130,Paid Search,25-34,West,4116.973,Low
CUST_00131,Paid Search,55+,South,3750.6821,Medium
CUST_00132,Social,55+,North,2456.7256,Medium
CUST_00133,Organic,25-34,North,4783.438,Medium
CUST_00134,Organic,35-44,North,4604.1626,Medium
CUST_00135,Email,45-54,South,4591.5195,Medium
CUST_00136,Email,25-34,South,4633.519,Medium
CUST_00137,Paid Search,18-24,West,3467.799,Low
CUST_00138,Social,25-34,North,626.9388,Low
CUST_00139,Social,35-44,South,869.8876,Low
CUST_00140,Social,18-24,West,2805.8481,Medium
CUST_00141,Organic,25-34,North,5065.407,Medium
CUST_00142,Email,55+,South,4749.0903,Medium
CUST_00143,Social,18-24,North,2583.9497,Medium
CUST_00144,Social,18-24,East,2346.8772,Medium
CUST_00145,Paid Search,35-44,West,4259.8716,Low
CUST_00146,Organic,18-24,North,4622.9287,Medium
CUST_00147,Paid Search,18-24,South,3784.3347,Low
CUST_00148,Organic,18-24,South,5243.4453,Low
CUST_00149,Social,18-24,West,2313.093,Low
CUST_00150,Paid Search,55+,West,3620.8718,Low
CUST_00151,Social,18-24,North,2484.1973,Low
CUST_00152,Paid Search,35-44,South,3888.2017,Medium
CUST_00153,Social,45-54,West,2793.4287,Medium
CUST_00154,Social,45-54,North,2844.6265,Low
CUST_00155,Referral,45-54,West,13238.91,High
CUST_00156,Organic,25-34,North,4884.335,Low
CUST_00157,Paid Search,55+,East,3794.1155,Medium
CUST_00158,Paid Search,18-24,West,3901.802,Low
CUST_00159,Email,18-24,East,4529.535,Medium
CUST_00160,Paid Search,55+,West,3651.9534,Medium
CUST_00161,Email,18-24,East,4616.5483,Medium
CUST_00162,Paid Search,18-24,North,3190.9238,Low
CUST_00163,Email,18-24,East,4682.1396,Medium
CUST_00164,Email,18-24,East,4862.849,Medium
CUST_00165,Organic,18-24,South,4990.0283,Low
CUST_00166,Paid Search,35-44,North,3864.5884,Low
CUST_00167,Organic,45-54,East,4816.8223,Medium
CUST_00168,Email,18-24,East,2076.465,Low
CUST_00169,Paid Search,55+,West,3473.5063,Medium
CUST_00170,Email,18-24,North,4380.054,Medium
CUST_00171,Email,45-54,East,4695.7476,Medium
CUST_00172,Paid Search,55+,West,3617.0142,Medium
CUST_00173,Email,35-44,West,4651.9233,Medium
CUST_00174,Paid Search,35-44,West,3157.0525,Low
CUST_00175,Email,18-24,North,4694.6855,Medium
CUST_00176,Referral,25-34,North,13656.61,High
CUST_00177,Email,55+,East,4099.6562,Low
CUST_00178,Social,25-34,South,2569.1123,Medium
CUST_00179,Paid Search,18-24,North,3828.619,Medium
CUST_00180,Organic,45-54,North,5087.7373,Medium
CUST_00181,Social,45-54,North,2561.1328,Low
CUST_00182,Organic,18-24,South,2914.1494,Low
CUST_00183,Social,18-24,East,2574.987,Medium
CUST_00184,Paid Search,18-24,North,3741.5483,Low
CUST_00185,Email,18-24,North,4909.9604,Medium
CUST_00186,Paid Search,45-54,South,3815.1794,Medium
CUST_00187,Social,18-24,West,2707.6282,Medium
CUST_00188,Referral,45-54,West,366.7053,Medium
CUST_00189,Paid Search,18-24,South,3201.0337,Low
CUST_00190,Organic,55+,North,5230.3813,Low
CUST_00191,Paid Search,45-54,North,3749.4495,Low
CUST_00192,Referral,25-34,West,10703.534,Medium
CUST_00193,Social,35-44,South,2510.6147,Low
CUST_00194,Paid Search,18-24,North,3478.9097,Low
CUST_00195,Referral,18-24,West,15424.47,High
CUST_00196,Social,35-44,East,2536.0342,Low
CUST_00197,Paid Search,18-24,South,3743.1472,Low
CUST_00198,Email,45-54,South,4740.8374,Medium
CUST_00199,Paid Search,25-34,North,3880.4011,Medium
CUST_00200,Social,18-24,West,2711.025,Medium
CUST_00201,Paid Search,35-44,West,3443.9375,Medium
CUST_00202,Organic,35-44,North,5249.018,Medium
CUST_00203,Organic,45-54,East,4318.649,Medium
CUST_00204,Paid Search,18-24,North,3610.079,Low
CUST_00205,Paid Search,35-44,South,3871.4346,Medium
CUST_00206,Referral,55+,East,766.8383,Medium
CUST_00207,Social,25-34,North,2897.9316,Low
CUST_00208,Email,55+,East,0.0,Low
CUST_00209,Paid Search,45-54,North,4304.2324,Low
CUST_00210,Paid Search,35-44,East,3679.4468,Medium
CUST_00211,Organic,55+,South,5127.9673,Medium
CUST_00212,Email,55+,North,4439.701,Medium
CUST_00213,Organic,25-34,West,5087.908,Medium
CUST_00214,Email,55+,South,4585.214,Medium
CUST_00215,Organic,18-24,West,5055.2715,Medium
CUST_00216,Paid Search,18-24,West,4436.969,Low
CUST_00217,Paid Search,18-24,North,3837.2136,Medium
CUST_00218,Organic,25-34,East,4825.5933,Medium
CUST_00219,Organic,55+,South,4926.691,Medium
CUST_00220,Paid Search,45-54,East,3695.8628,Low
CUST_00221,Email,45-54,East,4345.9087,Medium
CUST_00222,Email,18-24,South,4978.223,Medium
CUST_00223,Email,35-44,East,4651.9233,Medium
CUST_00224,Paid Search,25-34,South,3621.726,Low
CUST_00225,Organic,35-44,West,4100.4414,Low
CUST_00226,Paid Search,25-34,West,4377.685,Medium
CUST_00227,Social,25-34,North,2512.1553,Low
CUST_00228,Paid Search,55+,East,3500.642,Medium
CUST_00229,Paid Search,35-44,West,3699.43,Medium
CUST_00230,Social,35-44,North,2950.5369,Low
CUST_00231,Paid Search,18-24,East,3787.8198,Low
CUST_00232,Social,45-54,West,2060.643,Low
CUST_00233,Paid Search,35-44,North,3787.3638,Low
CUST_00234,Organic,25-34,East,5158.317,Medium
CUST_00235,Social,45-54,West,2545.4106,Medium
CUST_00236,Organic,18-24,South,4786.7344,Medium
CUST_00237,Paid Search,35-44,North,3955.1108,Medium
CUST_00238,Paid Search,55+,South,3655.576,Medium
CUST_00239,Email,35-44,South,4715.9297,Medium
CUST_00240,Email,18-24,East,4510.0664,Medium
CUST_00241,Paid Search,25-34,South,3667.3638,Low
CUST_00242,Paid Search,18-24,South,3944.8403,Low
CUST_00243,Email,35-44,West,4229.1133,Low
CUST_00244,Paid Search,25-34,East,3963.9265,Low
CUST_00245,Email,18-24,West,4498.0586,Medium
CUST_00246,Paid Search,45-54,East,3505.2285,Medium
CUST_00247,Paid Search,18-24,West,3885.6516,Medium
CUST_00248,Referral,25-34,North,96.5357,Medium
CUST_00249,Email,55+,West,2964.897,Low
CUST_00250,Paid Search,18-24,West,3544.1575,Low
CUST_00251,Email,25-34,North,4352.9194,Medium
CUST_00252,Social,25-34,South,433.27747,Low
CUST_00253,Email,35-44,South,4401.959,Medium
CUST_00254,Referral,25-34,South,16515.908,High
CUST_00255,Organic,55+,West,5513.014,Medium
CUST_00256,Email,18-24,East,0.0,Low
CUST_00257,Organic,55+,North,3180.7563,Low
CUST_00258,Social,35-44,East,2370.6914,Low
CUST_00259,Paid Search,18-24,West,3917.557,Medium
CUST_00260,Email,18-24,South,4696.4043,Medium
CUST_00261,Social,18-24,West,2556.1982,Low
CUST_00262,Organic,25-34,East,4613.155,Low
CUST_00263,Email,25-34,West,4701.5386,Medium
CUST_00264,Paid Search,45-54,West,3803.886,Low
CUST_00265,Referral,25-34,North,17519.062,High
CUST_00266,Paid Search,45-54,West,3920.3748,Medium
CUST_00267,Social,25-34,North,2818.6904,Low
CUST_00268,Email,25-34,West,4512.2026,Medium
CUST_00269,Social,25-34,West,2615.3447,Low
CUST_00270,Organic,25-34,South,5066.213,Medium
CUST_00271,Referral,55+,North,12837.483,High
CUST_00272,Referral,25-34,South,14406.863,High
CUST_00273,Social,25-34,South,2814.1604,Low
CUST_00274,Social,55+,East,2244.9348,Medium
CUST_00275,Organic,45-54,North,4948.938,Medium
CUST_00276,Paid Search,18-24,North,4077.7957,Medium
CUST_00277,Referral,55+,South,12278.388,High
CUST_00278,Paid Search,18-24,West,3729.646,Medium
CUST_00279,Organic,18-24,South,4990.766,Medium
CUST_00280,Referral,35-44,South,16032.055,High
CUST_00281,Email,45-54,North,0.0,Low
CUST_00282,Paid Search,18-24,South,4014.567,Low
CUST_00283,Paid Search,45-54,South,3772.073,Low
CUST_00284,Social,18-24,South,477.8256,Low
CUST_00285,Paid Search,45-54,South,3814.8477,Medium
CUST_00286,Paid Search,18-24,South,3754.8809,Medium
CUST_00287,Organic,35-44,East,4824.9224,Medium
CUST_00288,Social,45-54,South,2228.1716,Low
CUST_00289,Paid Search,25-34,West,1572.888,Low
CUST_00290,Paid Search,45-54,East,502.19363,Low
CUST_00291,Organic,45-54,East,4270.5586,Low
CUST_00292,Social,45-54,East,2582.5935,Low
CUST_00293,Referral,25-34,West,16116.725,High
CUST_00294,Paid Search,45-54,South,3865.7068,Low
CUST_00295,Paid Search,45-54,West,3480.6523,Medium
CUST_00296,Paid Search,25-34,North,3566.9556,Low
CUST_00297,Social,45-54,North,2344.2744,Medium
CUST_00298,Paid Search,55+,West,4376.9365,Low
CUST_00299,Paid Search,55+,West,0.0,Low
CUST_00300,Social,45-54,North,2685.6545,Low
CUST_00301,Organic,45-54,East,4995.6865,Medium
CUST_00302,Social,55+,East,2541.4092,Low
CUST_00303,Email,25-34,North,4172.435,Medium
CUST_00304,Email,45-54,East,4884.594,Medium
CUST_00305,Email,18-24,East,4351.5054,Medium
CUST_00306,Paid Search,25-34,East,4236.2104,Low
CUST_00307,Email,55+,East,4063.9072,Low
CUST_00308,Email,25-34,West,4598.92,Medium
CUST_00309,Referral,55+,North,3693.937,Medium
CUST_00310,Organic,35-44,East,4917.7935,Medium
CUST_00311,Organic,25-34,South,199.09398,Low
CUST_00312,Paid Search,18-24,West,4407.125,Medium
CUST_00313,Email,35-44,South,3924.6414,Low
CUST_00314,Paid Search,35-44,West,3387.1216,Medium
CUST_00315,Email,35-44,East,2502.138,Low
CUST_00316,Paid Search,18-24,North,3661.1165,Medium
CUST_00317,Paid Search,25-34,West,4254.158,Low
CUST_00318,Social,18-24,North,2525.6704,Low
CUST_00319,Email,25-34,South,4718.008,Medium
CUST_00320,Organic,55+,South,5138.6587,Low
CUST_00321,Paid Search,18-24,East,4317.859,Low
CUST_00322,Paid Search,45-54,South,3795.6697,Medium
CUST_00323,Email,18-24,East,3381.4497,Low
CUST_00324,Paid Search,35-44,East,3623.176,Low
CUST_00325,Paid Search,55+,North,4183.9375,Low
CUST_00326,Organic,25-34,North,4893.7217,Medium
CUST_00327,Paid Search,18-24,South,4004.8416,Medium
CUST_00328,Paid Search,35-44,North,478.01694,Low
CUST_00329,Referral,25-34,West,15361.107,High
CUST_00330,Email,55+,South,4663.048,Medium
CUST_00331,Referral,55+,South,16062.809,High
CUST_00332,Email,45-54,East,4504.1646,Medium
CUST_00333,Social,45-54,West,2255.7783,Low
CUST_00334,Paid Search,45-54,East,3946.1936,Medium
CUST_00335,Email,45-54,East,4630.1562,Medium
CUST_00336,Social,35-44,West,2527.9421,Low
CUST_00337,Organic,55+,West,5203.757,Medium
CUST_00338,Email,25-34,North,4338.773,Medium
CUST_00339,Referral,18-24,North,13441.354,High
CUST_00340,Paid Search,45-54,South,3896.3425,Medium
CUST_00341,Paid Search,45-54,West,100.68141,Low
CUST_00342,Paid Search,55+,West,3473.5063,Medium
CUST_00343,Social,25-34,East,2902.0906,Low
CUST_00344,Paid Search,35-44,East,171.89252,Low
CUST_00345,Social,35-44,North,2577.5925,Low
CUST_00346,Paid Search,25-34,East,2589.0813,Low
CUST_00347,Organic,45-54,North,4881.8623,Medium
CUST_00348,Social,35-44,East,408.6338,Low
CUST_00349,Paid Search,45-54,North,4041.334,Low
CUST_00350,Paid Search,35-44,North,3694.2507,Medium
CUST_00351,Paid Search,25-34,West,3876.441,Medium
CUST_00352,Organic,55+,West,4862.6,Medium
CUST_00353,Paid Search,35-44,East,2780.088,Low
CUST_00354,Email,45-54,East,4425.8516,Medium
CUST_00355,Email,35-44,North,4542.3423,Medium
CUST_00356,Social,25-34,East,2447.9373,Medium
CUST_00357,Email,55+,East,4552.569,Medium
CUST_00358,Email,25-34,East,1621.368,Low
CUST_00359,Organic,55+,South,4919.0522,Medium
CUST_00360,Paid Search,35-44,South,3702.7263,Low
CUST_00361,Social,18-24,West,2630.2266,Low
CUST_00362,Paid Search,18-24,South,4111.55,Medium
CUST_00363,Email,55+,West,0.0,Low
CUST_00364,Organic,35-44,West,5271.0957,Medium
CUST_00365,Social,25-34,West,2892.0386,Low
CUST_00366,Social,55+,East,2494.684,Medium
CUST_00367,Paid Search,45-54,North,3574.578,Low
CUST_00368,Email,45-54,North,4339.9375,Medium
CUST_00369,Email,45-54,East,4664.5024,Medium
CUST_00370,Email,18-24,South,4650.9976,Medium
CUST_00371,Email,18-24,North,4599.2793,Medium
CUST_00372,Paid Search,45-54,West,3988.0317,Medium
CUST_00373,Paid Search,18-24,West,2940.1714,Low
CUST_00374,Paid Search,45-54,South,3871.425,Medium
CUST_00375,Email,18-24,East,0.0,Low
CUST_00376,Paid Search,25-34,South,4165.5576,Low
CUST_00377,Organic,45-54,South,280.5328,Low
CUST_00378,Referral,45-54,East,10017.551,High
CUST_00379,Paid Search,45-54,South,3784.5742,Low
CUST_00380,Social,45-54,West,609.9214,Low
CUST_00381,Social,18-24,North,2610.7551,Medium
CUST_00382,Paid Search,55+,East,3480.0676,Medium
CUST_00383,Paid Search,25-34,West,3820.1409,Medium
CUST_00384,Paid Search,18-24,West,3517.9224,Medium
CUST_00385,Paid Search,55+,North,366.75745,Low
CUST_00386,Social,18-24,North,2714.9539,Medium
CUST_00387,Organic,35-44,East,0.0,Low
CUST_00388,Paid Search,35-44,West,3684.0005,Medium
CUST_00389,Social,45-54,West,2739.4832,Medium
CUST_00390,Paid Search,18-24,West,3936.389,Medium
CUST_00391,Referral,18-24,North,14357.593,High
CUST_00392,Social,35-44,East,408.6338,Low
CUST_00393,Email,35-44,East,4577.737,Medium
CUST_00394,Paid Search,45-54,East,3591.45,Medium
CUST_00395,Referral,45-54,West,11993.919,High
CUST_00396,Organic,18-24,North,5453.578,Medium
CUST_00397,Paid Search,55+,South,4437.249,Low
CUST_00398,Paid Search,35-44,South,3399.0037,Low
CUST_00399,Paid Search,55+,West,3724.4827,Low
CUST_00400,Referral,55+,North,629.0219,Low
CUST_00401,Referral,18-24,South,16324.957,High
CUST_00402,Social,35-44,North,2527.468,Medium
CUST_00403,Social,35-44,North,2126.7747,Medium
CUST_00404,Organic,35-44,West,5061.596,Medium
CUST_00405,Social,25-34,West,364.22433,Low
CUST_00406,Paid Search,35-44,South,3528.2124,Medium
CUST_00407,Referral,35-44,East,0.0,Low
CUST_00408,Paid Search,18-24,East,3680.376,Low
CUST_00409,Paid Search,25-34,West,0.0,Low
CUST_00410,Organic,18-24,South,3802.2217,Low
CUST_00411,Social,55+,West,2739.2969,Low
CUST_00412,Organic,45-54,South,4557.553,Medium
CUST_00413,Email,25-34,East,0.0,Low
CUST_00414,Email,25-34,South,3718.0847,Low
CUST_00415,Email,18-24,East,4644.104,Medium
CUST_00416,Paid Search,25-34,South,231.1511,Low
CUST_00417,Paid Search,55+,West,3631.6611,Low
CUST_00418,Email,18-24,East,4663.2812,Medium
CUST_00419,Paid Search,18-24,South,3782.621,Medium
CUST_00420,Organic,55+,West,3802.9556,Medium
CUST_00421,Paid Search,35-44,East,3656.044,Low
CUST_00422,Paid Search,18-24,South,3787.2795,Low
CUST_00423,Social,35-44,North,2394.4836,Low
CUST_00424,Paid Search,45-54,West,4134.7573,Low
CUST_00425,Organic,25-34,West,4798.5933,Low
CUST_00426,Social,25-34,East,2530.8474,Low
CUST_00427,Paid Search,45-54,West,4028.8342,Medium
CUST_00428,Social,35-44,East,2408.6558,Medium
CUST_00429,Referral,55+,North,10367.815,High
CUST_00430,Social,25-34,North,659.9447,Low
CUST_00431,Social,25-34,North,2442.6956,Medium
CUST_00432,Social,18-24,North,2537.7795,Medium
CUST_00433,Referral,45-54,East,1798.2203,Low
CUST_00434,Paid Search,35-44,West,3867.831,Medium
CUST_00435,Social,25-34,North,2237.3687,Medium
CUST_00436,Organic,45-54,East,0.0,Low
CUST_00437,Referral,25-34,North,16223.57,High
CUST_00438,Social,18-24,South,2660.381,Low
CUST_00439,Email,35-44,West,4460.3403,Medium
CUST_00440,Social,35-44,West,2650.504,Low
CUST_00441,Organic,35-44,West,4327.2407,Low
CUST_00442,Paid Search,35-44,South,3869.6938,Low
CUST_00443,Paid Search,55+,West,3827.7417,Medium
CUST_00444,Email,25-34,West,0.0,Low
CUST_00445,Email,25-34,South,4735.1147,Medium
CUST_00446,Referral,35-44,South,6538.297,Medium
CUST_00447,Paid Search,18-24,North,3735.303,Medium
CUST_00448,Email,18-24,West,4644.104,Medium
CUST_00449,Referral,35-44,North,19514.256,High
CUST_00450,Referral,35-44,South,12444.08,High
CUST_00451,Social,45-54,South,2798.4656,Low
CUST_00452,Social,18-24,North,2608.7998,Low
CUST_00453,Referral,55+,West,15164.175,High
CUST_00454,Social,35-44,East,2950.5369,Low
CUST_00455,Referral,18-24,North,10180.227,High
CUST_00456,Email,25-34,North,3325.767,Low
CUST_00457,Referral,25-34,North,0.0,Medium
CUST_00458,Paid Search,35-44,West,0.0,Low
CUST_00459,Paid Search,35-44,South,3606.1091,Medium
CUST_00460,Email,35-44,East,4632.4136,Medium
CUST_00461,Organic,35-44,North,5052.2646,Medium
CUST_00462,Social,55+,North,2870.507,Low
CUST_00463,Paid Search,55+,East,0.0,Low
CUST_00464,Referral,35-44,North,0.0,Low
CUST_00465,Paid Search,55+,East,4026.5842,Medium
CUST_00466,Social,55+,West,335.01456,Low
CUST_00467,Social,55+,South,2979.2708,Low
CUST_00468,Referral,25-34,East,14329.166,High
CUST_00469,Referral,35-44,West,14104.725,High
CUST_00470,Paid Search,25-34,West,3835.0266,Low
CUST_00471,Email,18-24,North,4782.9727,Medium
CUST_00472,Organic,18-24,North,3926.8735,Low
CUST_00473,Social,45-54,West,2588.578,Low
CUST_00474,Email,35-44,West,4577.737,Medium
CUST_00475,Email,55+,South,4626.3193,Medium
CUST_00476,Paid Search,45-54,East,3983.4631,Medium
CUST_00477,Paid Search,18-24,East,3640.321,Medium
CUST_00478,Paid Search,55+,East,3517.9514,Medium
CUST_00479,Email,35-44,West,4324.808,Medium
CUST_00480,Organic,35-44,South,4749.881,Medium
CUST_00481,Email,55+,West,4632.9927,Medium
CUST_00482,Paid Search,45-54,North,3731.8628,Low
CUST_00483,Paid Search,18-24,North,3628.354,Low
CUST_00484,Paid Search,18-24,West,3148.0586,Low
CUST_00485,Social,35-44,North,2813.67,Low
CUST_00486,Email,18-24,West,3576.9736,Low
CUST_00487,Social,18-24,South,1882.3809,Low
CUST_00488,Social,45-54,South,2411.135,Low
CUST_00489,Paid Search,18-24,North,3696.6897,Medium
CUST_00490,Referral,18-24,West,13346.294,High
CUST_00491,Organic,35-44,South,4894.463,Low
CUST_00492,Email,18-24,North,4503.34,Medium
CUST_00493,Paid Search,25-34,South,3958.957,Medium
CUST_00494,Organic,55+,North,5150.1025,Medium
CUST_00495,Organic,45-54,West,5520.7856,Medium
CUST_00496,Email,55+,North,4591.466,Medium
CUST_00497,Referral,25-34,South,14871.021,High
CUST_00498,Paid Search,45-54,South,4221.577,Low
CUST_00499,Social,25-34,North,2267.5251,Medium
CUST_00500,Email,25-34,North,4497.207,Medium
CUST_00501,Paid Search,18-24,East,3681.784,Low
CUST_00502,Social,55+,South,1709.8629,Low
CUST_00503,Organic,18-24,North,5008.8003,Medium
CUST_00504,Social,25-34,North,2674.1692,Low
CUST_00505,Paid Search,35-44,West,3281.7905,Low
CUST_00506,Paid Search,35-44,East,3813.1543,Medium
CUST_00507,Organic,25-34,East,5042.9165,Medium
CUST_00508,Organic,25-34,West,4930.566,Medium
CUST_00509,Email,25-34,North,4735.5786,Low
CUST_00510,Referral,55+,East,20290.775,High
CUST_00511,Email,35-44,West,4839.9307,Medium
CUST_00512,Email,55+,North,4474.6406,Medium
CUST_00513,Paid Search,55+,East,3719.726,Low
CUST_00514,Paid Search,45-54,West,3717.0344,Medium
CUST_00515,Paid Search,55+,East,3829.9534,Medium
CUST_00516,Social,18-24,North,2490.8938,Medium
CUST_00517,Paid Search,55+,East,3742.8699,Medium
CUST_00518,Paid Search,35-44,West,0.0,Low
CUST_00519,Email,45-54,North,3574.048,Medium
CUST_00520,Paid Search,25-34,East,3785.352,Low
CUST_00521,Paid Search,18-24,East,4447.6094,Low
CUST_00522,Referral,55+,South,13150.788,High
CUST_00523,Email,35-44,North,4491.274,Medium
CUST_00524,Referral,18-24,North,14362.735,High
CUST_00525,Organic,45-54,West,4783.492,Medium
CUST_00526,Paid Search,18-24,West,3013.9426,Low
CUST_00527,Organic,35-44,South,5341.2563,Low
CUST_00528,Organic,45-54,West,5726.5522,Medium
CUST_00529,Social,45-54,West,1929.6266,Low
CUST_00530,Referral,35-44,East,11832.662,High
CUST_00531,Referral,25-34,East,1153.2177,Medium
CUST_00532,Referral,55+,West,7635.054,Medium
CUST_00533,Social,18-24,East,401.87048,Low
